Plot,Azimuth,Distance,Statues,Species,DBH,Height
23,94,11.83,1,red maple,29.5,22.25
23,96,9.62,1,white spruce,12.7,12.5
23,107,4.26,1,eastern white pine,15.7,12.8
23,118,1.63,1,eastern hemlock,17,14.33
23,119,4.63,1,eastern white pine,18.8,12.5
23,141,5.43,1,red maple,13.5,7.62
23,148,8.17,1,yellow birch,11.7,7.32
23,156,12.86,1,yellow birch,16.3,11.28
23,167,9.21,1,yellow birch,26.2,20.12
23,188,4.95,1,red spruce,14.2,14.63
23,194,11.73,1,yellow birch,26.2,15.54
23,211,10.24,1,red maple,24.9,14.02
23,212,11.46,1,white spruce,24.1,10.67
23,219,3.24,1,paper birch,22.4,17.98
23,243,1.45,1,eastern white pine,15,19.51
23,243,9.13,1,paper birch,15.5,15.85
23,249,3.91,1,northern red oak,35.8,19.81
23,252,3.45,1,paper birch,37.6,19.51
23,256,2.46,1,northern red oak,16.5,11.89
23,259,8.42,1,red spruce,11.9,11.58
23,261,11.3,1,white spruce,17.8,16.46
23,269,9.04,1,yellow birch,14.5,8.53
23,289,12.08,1,red maple,13.2,10.97
23,303,3.27,1,red maple,21.3,19.81
23,305,10.43,1,yellow birch,16.5,14.94
23,327,6.46,1,eastern hemlock,18.3,10.67
23,328,5.62,1,red maple,10.7,7.01
23,332,2.87,1,yellow birch,13,8.53
23,334,5.01,1,eastern hemlock,21.6,16.76
23,338,8.58,1,white spruce,15.2,15.24
23,354,1.77,1,eastern hemlock,12.7,10.97
24,5,8.88,1,paper birch,15.7,11.58
24,7,8.52,1,red spruce,13.7,11.28
24,8,6.28,1,paper birch,17.3,13.41
24,30,9.99,1,northern red oak,12.7,15.24
24,34,1.43,1,red spruce,22.4,12.19
24,64,12.66,1,yellow birch,25.7,12.19
24,66,1.22,1,eastern white pine,16.3,14.63
24,70,4.58,1,eastern hemlock,26.2,22.25
24,80,3.38,1,northern red oak,24.9,19.51
24,88,6.92,1,northern red oak,10.9,9.14
24,88,2.56,1,red spruce,14.2,10.36
24,114,10.1,1,white spruce,16.8,14.02
24,121,1.18,1,eastern hemlock,12.4,12.8
24,127,1.31,1,northern red oak,21.6,16.15
24,132,12.38,1,northern red oak,20.1,13.41
24,154,4.44,1,paper birch,42.2,16.15
24,160,2.26,1,red maple,27.9,19.51
24,161,11.5,1,paper birch,16.3,16.46
24,163,7.41,1,eastern hemlock,31.2,18.29
24,171,7.62,1,northern red oak,14.2,11.89
24,194,4.58,1,red maple,22.9,15.85
24,202,7.57,1,northern red oak,36.8,24.99
24,207,6.97,1,yellow birch,20.6,16.76
24,213,9.85,1,eastern hemlock,12.7,10.97
24,233,9.04,1,white spruce,16,13.11
24,256,0.73,1,eastern white pine,14.7,9.14
24,284,4.01,1,white spruce,21.1,14.33
24,302,0.69,1,red maple,18,11.58
24,337,4.76,1,northern red oak,16.3,12.5
24,337,10.66,1,white spruce,23.6,14.63
24,339,10.22,1,eastern hemlock,12.7,13.11
25,4,1.4,1,eastern white pine,16.5,13.72
25,10,5.84,1,red maple,11.7,8.23
25,11,6.12,1,red maple,13.2,12.19
25,12,5.68,1,eastern hemlock,27.9,19.2
25,56,0.16,1,white spruce,13.2,7.92
25,58,8.21,1,eastern hemlock,14.2,9.45
25,80,7.85,1,paper birch,14.2,11.89
25,88,11.32,1,northern red oak,17.3,11.28
25,101,12.93,1,northern red oak,22.4,18.9
25,116,3.71,1,red spruce,27.9,16.76
25,124,1.57,1,paper birch,14.5,15.85
25,126,0.35,1,yellow birch,19.1,10.67
25,127,6.99,1,eastern white pine,18.3,11.28
25,136,2.94,1,northern red oak,14,12.8
25,142,12.2,1,eastern hemlock,27.4,9.75
25,164,2.49,1,eastern hemlock,15,13.11
25,170,7.06,1,yellow birch,26.9,21.34
25,174,11.5,1,white spruce,13.7,10.06
25,184,4.83,1,white spruce,14.7,7.62
25,184,8.28,1,red spruce,28.2,13.11
25,225,3.17,1,white spruce,18.3,11.28
25,246,8.72,1,white spruce,48.5,22.25
25,249,8.19,1,eastern hemlock,14,7.62
25,264,9.69,1,paper birch,17.3,8.84
25,264,12.33,1,paper birch,23.1,14.02
25,297,0.04,1,yellow birch,16.5,8.23
25,303,6.31,1,eastern hemlock,13.2,8.23
25,313,11.99,1,yellow birch,18.5,16.76
25,316,7.52,1,white spruce,27.9,15.24
25,334,4.55,1,white spruce,12.7,13.41
25,334,8.75,1,paper birch,20.8,15.54
25,358,0.64,1,white spruce,21.8,11.89
26,10,7.45,1,yellow birch,18.5,11.28
26,14,4.62,1,northern red oak,27.2,12.8
26,22,7.92,1,northern red oak,32.3,23.77
26,25,2.74,1,red maple,13.2,15.54
26,43,11.2,1,northern red oak,14,7.92
26,47,8.26,1,paper birch,14.5,13.11
26,79,11.58,1,red spruce,18.3,10.67
26,85,11.02,1,eastern hemlock,29.5,14.63
26,102,2.94,1,northern red oak,58.2,14.02
26,112,8.44,1,paper birch,15.2,10.97
26,140,6.33,1,yellow birch,10.7,11.58
26,151,6.1,1,paper birch,39.6,16.46
26,154,0.94,1,white spruce,60.7,30.78
26,166,5.61,1,white spruce,29.7,19.2
26,171,6.15,1,paper birch,28.2,15.54
26,187,8.44,1,red maple,18.8,12.8
26,188,8.98,1,red maple,18.5,16.46
26,188,3.47,1,red spruce,29.5,20.42
26,189,11.37,1,paper birch,17,12.19
26,190,12.59,1,yellow birch,18.3,13.11
26,198,8.81,1,white spruce,11.4,14.63
26,208,10.03,1,northern red oak,12.2,15.24
26,217,10.43,1,yellow birch,25.4,15.24
26,220,10.45,1,paper birch,14.2,10.06
26,244,10.03,1,white spruce,22.1,13.11
26,267,3.22,1,red maple,18.3,16.76
26,271,10.52,1,northern red oak,15.2,9.75
26,282,10.81,1,red spruce,25.4,11.58
26,288,9.99,1,yellow birch,34.3,16.76
26,327,8.31,1,red maple,24.9,19.2
26,338,4.17,1,eastern white pine,16,15.85
26,339,6.12,1,white spruce,14.7,9.45
26,340,7.39,1,northern red oak,23.6,10.06
26,342,8.51,1,white spruce,18.8,16.15
26,343,10.08,1,eastern hemlock,26.2,13.41
26,356,2.05,1,northern red oak,29.2,24.38
27,10,12.34,1,white spruce,16.5,13.41
27,54,8.58,1,yellow birch,23.9,19.81
27,55,7.22,1,yellow birch,14.7,11.89
27,83,4.12,1,red maple,15,12.5
27,92,11.48,1,white spruce,16,11.28
27,101,11.97,1,northern red oak,14,7.01
27,102,4.69,1,red maple,15.7,10.97
27,132,11.51,1,paper birch,17.3,12.8
27,135,2.6,1,eastern white pine,34.3,17.07
27,142,10.26,1,northern red oak,42.4,24.69
27,163,4.65,1,northern red oak,19.8,11.58
27,167,12.42,1,red spruce,17.8,12.19
27,191,9.83,1,yellow birch,15.7,8.53
27,211,9.29,1,red spruce,19.1,12.19
27,227,0.11,1,yellow birch,13.7,9.45
27,258,6.14,1,yellow birch,34.3,14.63
27,283,6.26,1,eastern white pine,17.5,9.75
27,288,8.26,1,red spruce,30.7,12.19
28,1,1.72,1,paper birch,16.5,13.11
28,8,5.15,1,white spruce,23.1,13.11
28,48,0.14,1,white spruce,15.7,15.54
28,57,11.88,1,red maple,32.8,15.85
28,74,10.49,1,yellow birch,15.5,18.29
28,78,4.12,1,yellow birch,14,16.15
28,107,1.84,1,red maple,20.1,19.81
28,126,6.86,1,paper birch,38.9,19.2
28,159,5.66,1,red maple,17,11.89
28,169,6.72,1,red maple,25.1,19.51
28,188,8.26,1,yellow birch,13,9.75
28,189,4.21,1,eastern hemlock,28.4,14.33
28,193,6.69,1,paper birch,16,13.41
28,197,12.65,1,northern red oak,13.2,8.53
28,199,8.05,1,yellow birch,26.4,18.29
28,201,5.02,1,yellow birch,14.5,11.58
28,225,8.15,1,red maple,30.2,17.98
28,228,5.09,1,red spruce,19.3,15.85
28,240,0.6,1,white spruce,12.7,9.14
28,247,4.23,1,northern red oak,18.3,10.97
28,285,7.8,1,red maple,14,7.01
28,320,8.68,1,northern red oak,17.3,5.49
28,331,6.37,1,white spruce,36.6,12.19
28,334,7.71,1,red maple,15.5,12.19
28,357,4.24,1,red spruce,15.7,16.15
29,3,4.7,1,white spruce,23.1,13.72
29,17,7.32,1,red spruce,17.3,15.54
29,20,6.92,1,white spruce,38.4,16.76
29,47,11.23,1,red maple,24.6,11.58
29,56,6.7,1,northern red oak,12.7,9.75
29,79,10.51,1,red maple,35.6,19.2
29,93,11.97,1,eastern hemlock,16.5,9.75
29,94,10.08,1,northern red oak,12.7,7.92
29,96,3.08,1,yellow birch,23.9,17.37
29,119,4.95,1,red spruce,19.8,17.37
29,120,3.02,1,red maple,17,10.06
29,122,6.01,1,paper birch,15,13.41
29,125,0.21,1,red spruce,21.6,17.07
29,159,6.26,1,eastern hemlock,16.5,8.53
29,194,3.96,1,yellow birch,32.5,19.81
29,216,4.01,1,yellow birch,17.8,10.36
29,241,5.11,1,red spruce,15.7,11.58
29,248,9.5,1,eastern hemlock,26.9,20.42
29,260,12.42,1,red maple,14.7,12.5
29,273,8.54,1,red maple,16,11.58
29,282,6.86,1,northern red oak,15.2,9.14
29,283,12.13,1,northern red oak,19.8,20.73
29,286,10.13,1,yellow birch,17.8,8.23
29,298,3.06,1,eastern hemlock,15,12.19
29,300,2.92,1,white spruce,21.1,13.41
29,302,9.82,1,paper birch,23.9,20.42
29,322,2.85,1,eastern hemlock,20.8,19.81
29,354,3.24,1,eastern hemlock,16.3,11.89
30,11,2.33,1,white spruce,22.9,12.19
30,40,1.11,1,white spruce,25.7,12.19
30,49,0.87,1,red spruce,26.4,14.63
30,54,7.91,1,red spruce,15.5,8.53
30,60,8.01,1,red spruce,14.5,12.8
30,87,12.88,1,northern red oak,24.4,13.11
30,91,11.25,1,northern red oak,27.7,16.46
30,94,9.16,1,yellow birch,14,12.19
30,102,1.22,1,northern red oak,19.6,15.85
30,115,8.77,1,red maple,14.7,9.45
30,125,0.3,1,white spruce,13.5,8.53
30,127,7.83,1,white spruce,30.5,21.64
30,182,9,1,paper birch,16.3,12.8
30,191,5.31,1,red spruce,21.1,16.15
30,193,0.19,1,yellow birch,54.4,29.26
30,194,3.87,1,yellow birch,10.7,9.45
30,204,3.18,1,red maple,14.2,13.11
30,218,2.85,1,eastern hemlock,13,13.72
30,226,6.46,1,eastern white pine,39.9,12.19
30,227,8.44,1,eastern hemlock,24.6,18.59
30,238,7.45,1,red spruce,21.1,12.19
30,249,5.27,1,red spruce,20.8,13.72
30,264,7.94,1,red maple,14.2,6.4
30,269,6.51,1,red spruce,39.9,18.29
30,277,8.49,1,white spruce,14,8.84
30,282,5.85,1,red maple,21.3,19.81
30,283,5.89,1,red spruce,18.5,16.15
30,296,2.74,1,eastern white pine,15,8.84
30,305,4.26,1,eastern white pine,14,12.8
30,347,0.14,1,paper birch,32.8,13.41
30,353,11.73,1,white spruce,12.7,5.79
30,359,4.09,1,northern red oak,21.1,16.15
